GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
817150,160,8,,,,,,Copper Mountain CDP,385,1740,,,385,
817375,160,8,,,,,,Cortez city,8482,3885,7977,3508,8482,7977
817485,160,8,,,,,,Cotopaxi CDP,47,46,,,47,
817760,160,8,,,,,,Craig city,9464,4082,9189,3851,9464,9189
817925,160,8,,,,,,Crawford town,431,212,366,179,431,366
818310,160,8,,,,,,Crested Butte town,1487,1069,1529,930,1487,1529
818530,160,8,,,,,,Cripple Creek city,1189,727,1115,737,1189,1115
818585,160,8,,,,,,Crisman CDP,186,108,,,186,
818640,160,8,,,,,,Crook town,110,76,128,80,110,128
818750,160,8,,,,,,Crowley town,176,88,187,85,176,187
819150,160,8,,,,,,Dakota Ridge CDP,32005,12334,,,32005,
819850,160,8,,,,,,Delta city,8915,3825,6400,2749,8915,6400
820000,160,8,,,,,,Denver city,600158,285797,554636,251435,600158,554636
820440,160,8,,,,,,Dillon town,904,1290,802,1280,904,802
820495,160,8,,,,,,Dinosaur town,339,175,319,156,339,319
820605,160,8,,,,,,Divide CDP,127,56,,,127,
820770,160,8,,,,,,Dolores town,936,501,857,423,936,857
821155,160,8,,,,,,Dotsero CDP,705,216,,,705,
821330,160,8,,,,,,Dove Valley CDP,5243,2421,,,5243,
821390,160,8,,,,,,Downieville-Lawson-Dumont CDP,594,265,364,156,594,364
822035,160,8,,,,,,Durango city,16887,7851,13922,5819,16887,13922
822200,160,8,,,,,,Eagle town,6508,2416,3032,1116,6508,3032
822575,160,8,,,,,,East Pleasant View CDP,356,142,369,145,356,369
822860,160,8,,,,,,Eaton town,4365,1698,2690,1067,4365,2690
823025,160,8,,,,,,Eckley town,257,132,278,120,257,278
823300,160,8,,,,,,Edwards CDP,10266,5260,8257,3953,10266,8257
823520,160,8,,,,,,Elbert CDP,230,97,,,230,
823630,160,8,,,,,,Eldorado Springs CDP,585,295,557,295,585,557
823795,160,8,,,,,,El Jebel CDP,3801,1297,4488,1483,3801,4488
824235,160,8,,,,,,Ellicott CDP,1131,443,,,1131,
824290,160,8,,,,,,El Moro CDP,221,100,,,221,
824785,160,8,,,,,,Englewood city,30255,15478,31727,14916,30255,31727
824950,160,8,,,,,,Erie town,18135,6581,6291,2282,18135,6291
825115,160,8,,,,,,Estes Park town,5858,4107,5413,3323,5858,5413
825280,160,8,,,,,,Evans city,18537,6761,9514,3404,18537,9514
825550,160,8,,,,,,Fairmount CDP,7559,2974,,,7559,
825610,160,8,,,,,,Fairplay town,679,396,610,337,679,610
826270,160,8,,,,,,Federal Heights city,11467,4876,12065,5311,11467,12065
826600,160,8,,,,,,Firestone town,10147,3499,1908,664,10147,1908
826875,160,8,,,,,,Fleming town,408,204,426,198,408,426
827040,160,8,,,,,,Florence city,3881,1749,3653,1622,3881,3653
827095,160,8,,,,,,Florissant CDP,104,47,,,104,
827175,160,8,,,,,,Floyd Hill CDP,998,483,,,998,
827535,160,8,,,,,,Fort Garland CDP,433,194,432,164,433,432
827700,160,8,,,,,,Fort Lupton city,7377,2534,6787,2132,7377,6787
827810,160,8,,,,,,Fort Morgan city,11315,4279,11034,4094,11315,11034
827865,160,8,,,,,,Fountain city,25846,9371,15197,5219,25846,15197
827975,160,8,,,,,,Fowler town,1182,597,1206,591,1182,1206
828105,160,8,,,,,,Foxfield town,685,253,746,252,685,746
828305,160,8,,,,,,Fraser town,1224,1096,910,622,1224,910
828360,160,8,,,,,,Frederick town,8679,3070,2467,896,8679,2467
828745,160,8,,,,,,Fruita city,12646,5069,6478,2610,12646,6478
828830,160,8,,,,,,Fulford CDP,2,38,,,2,
829295,160,8,,,,,,Garfield CDP,15,54,,,15,
829845,160,8,,,,,,Gerrard CDP,278,267,,,278,
830340,160,8,,,,,,Glendale city,4184,2649,4547,2787,4184,4547
830350,160,8,,,,,,Glendale CDP,69,48,,,69,
830420,160,8,,,,,,Gleneagle CDP,6611,2405,4246,1476,6611,4246
830835,160,8,,,,,,Golden city,18867,7748,17159,7146,18867,17159
830890,160,8,,,,,,Goldfield CDP,49,51,,,49,
831550,160,8,,,,,,Granada town,517,243,640,233,517,640
831605,160,8,,,,,,Granby town,1864,1531,1525,628,1864,1525
831935,160,8,,,,,,Grand View Estates CDP,528,194,691,244,528,691
832155,160,8,,,,,,Greeley city,92889,36323,76930,28972,92889,76930
832650,160,8,,,,,,Green Mountain Falls town,640,590,773,600,640,773
833035,160,8,,,,,,Greenwood Village city,13925,6301,11035,4206,13925,11035
833420,160,8,,,,,,Guffey CDP,98,114,,,98,
833502,160,8,,,,,,Gunbarrel CDP,9263,4424,9435,4237,9263,9435
833640,160,8,,,,,,Gunnison city,5854,2645,5409,2276,5854,5409
833695,160,8,,,,,,Gypsum town,6477,2205,3654,1210,6477,3654
834685,160,8,,,,,,Hasty CDP,144,79,,,144,
834740,160,8,,,,,,Haswell town,68,41,84,41,68,84
834960,160,8,,,,,,Haxtun town,946,498,982,490,946,982
835070,160,8,,,,,,Hayden town,1810,806,1634,658,1810,1634
835400,160,8,,,,,,Heeney CDP,76,151,,,76,
835860,160,8,,,,,,Hidden Lake CDP,31,39,,,31,
836410,160,8,,,,,,Highlands Ranch CDP,96713,35167,70931,25421,96713,70931
836610,160,8,,,,,,Hillrose town,264,124,254,111,264,254
836940,160,8,,,,,,Hoehne CDP,111,51,,,111,
837215,160,8,,,,,,Holly town,802,381,1048,449,802,1048
837220,160,8,,,,,,Holly Hills CDP,2521,1048,,,2521,
837270,160,8,,,,,,Holyoke city,2313,1031,2261,980,2313,2261
837380,160,8,,,,,,Hooper town,103,62,123,57,103,123
837600,160,8,,,,,,Hot Sulphur Springs town,663,309,521,227,663,521
837655,160,8,,,,,,Howard CDP,723,518,,,723,
837820,160,8,,,,,,Hudson town,2356,557,1565,504,2356,1565
837875,160,8,,,,,,Hugo town,730,410,885,440,730,885
838370,160,8,,,,,,Idaho Springs city,1717,934,1889,904,1717,1889
838425,160,8,,,,,,Idalia CDP,88,39,,,88,
838480,160,8,,,,,,Idledale CDP,252,145,,,252,
838810,160,8,,,,,,Indian Hills CDP,1280,646,1197,531,1280,1197
838910,160,8,,,,,,Inverness CDP,1532,1065,,,1532,
839160,160,8,,,,,,Jackson Lake CDP,154,259,,,154,
839195,160,8,,,,,,Jamestown town,274,141,205,102,274,205
839250,160,8,,,,,,Jansen CDP,112,68,,,112,
839745,160,8,,,,,,Joes CDP,80,52,,,80,
839800,160,8,,,,,,Johnson Village CDP,246,124,,,246,
839855,160,8,,,,,,Johnstown town,9887,3554,3827,1371,9887,3827
840550,160,8,,,,,,Keystone CDP,1079,3373,825,2606,1079,825
840900,160,8,,,,,,Kirk CDP,59,49,,,59,
841065,160,8,,,,,,Kittredge CDP,1304,573,954,426,1304,954
841560,160,8,,,,,,Kremmling town,1444,694,1578,646,1444,1578
841835,160,8,,,,,,Lafayette city,24453,9997,23197,9115,24453,23197
842000,160,8,,,,,,Laird CDP,47,34,,,47,
842055,160,8,,,,,,La Jara town,818,355,877,345,818,877
842110,160,8,,,,,,La Junta city,7077,3422,7568,3277,7077,7568
842165,160,8,,,,,,La Junta Gardens CDP,153,60,,,153,
842495,160,8,,,,,,Lakeside town,8,10,20,9,8,20
843000,160,8,,,,,,Lakewood city,142980,65758,144126,62422,142980,144126
843110,160,8,,,,,,Lamar city,7804,3666,8869,3656,7804,8869
843220,160,8,,,,,,Laporte CDP,2450,1126,2691,1108,2450,2691
843550,160,8,,,,,,Larkspur town,183,90,234,94,183,234
843605,160,8,,,,,,La Salle town,1955,746,1849,669,1955,1849
844100,160,8,,,,,,La Veta town,800,566,924,552,800,924
844270,160,8,,,,,,Lazy Acres CDP,920,443,,,920,
844375,160,8,,,,,,Leadville North CDP,1794,872,1942,802,1794,1942
844595,160,8,,,,,,Lewis CDP,302,133,,,302,
844695,160,8,,,,,,Leyner CDP,29,14,,,29,
845145,160,8,,,,,,Lincoln Park CDP,3546,1730,3904,1772,3546,3904
845695,160,8,,,,,,Log Lane Village town,873,343,1006,324,873,1006
845750,160,8,,,,,,Loma CDP,1293,478,,,1293,
845955,160,8,,,,,,Lone Tree city,10218,4226,4873,1906,10218,4873
846355,160,8,,,,,,Louisville city,18376,7892,18937,7389,18376,18937
846410,160,8,,,,,,Louviers CDP,269,121,237,101,269,237
846465,160,8,,,,,,Loveland city,66859,28557,50608,20299,66859,50608
847015,160,8,,,,,,Lynn CDP,12,9,,,12,
847345,160,8,,,,,,McCoy CDP,24,13,,,24,
848060,160,8,,,,,,Manassa town,991,425,1042,398,991,1042
848115,160,8,,,,,,Mancos town,1336,608,1119,524,1336,1119
848445,160,8,,,,,,Manitou Springs city,4992,2796,4980,2654,4992,4980
848500,160,8,,,,,,Manzanola town,434,198,525,209,434,525
849325,160,8,,,,,,Maybell CDP,72,45,,,72,
849490,160,8,,,,,,Maysville CDP,135,108,,,135,
849875,160,8,,,,,,Meeker town,2475,1219,2242,1054,2475,2242
850040,160,8,,,,,,Merino town,284,120,246,110,284,246
850380,160,8,,,,,,Midland CDP,156,149,,,156,
850480,160,8,,,,,,Milliken town,5610,1978,2888,903,5610,2888
850920,160,8,,,,,,Minturn town,1027,528,1068,448,1027,1068
851250,160,8,,,,,,Moffat town,116,70,114,66,116,114
851635,160,8,,,,,,Monte Vista city,4444,1960,4529,1854,4444,4529
851690,160,8,,,,,,Montezuma town,65,55,42,35,65,42
851800,160,8,,,,,,Monument town,5530,1884,1971,770,5530,1971
851975,160,8,,,,,,Morgan Heights CDP,266,113,,,266,
852075,160,8,,,,,,Morrison town,428,141,430,136,428,430
852210,160,8,,,,,,Mountain Meadows CDP,274,128,,,274,
852350,160,8,,,,,,Mountain View town,507,278,569,287,507,569
852550,160,8,,,,,,Mountain Village town,1320,2066,978,1022,1320,978
852820,160,8,,,,,,Mulford CDP,174,187,,,174,
853120,160,8,,,,,,Naturita town,546,316,635,314,546,635
853175,160,8,,,,,,Nederland town,1445,749,1394,675,1445,1394
853395,160,8,,,,,,New Castle town,4518,1718,1984,731,4518,1984
853875,160,8,,,,,,No Name CDP,123,60,,,123,
853945,160,8,,,,,,Norrie CDP,7,7,,,7,
854330,160,8,,,,,,Northglenn city,35789,14274,31575,12051,35789,31575
854495,160,8,,,,,,North La Junta CDP,512,251,,,512,
854750,160,8,,,,,,North Washington CDP,484,211,549,244,484,549
854880,160,8,,,,,,Norwood town,518,249,438,258,518,438
854935,160,8,,,,,,Nucla town,711,367,734,369,711,734
855540,160,8,,,,,,Olathe town,1849,634,1573,571,1849,1573
855870,160,8,,,,,,Ophir town,159,64,113,55,159,113
855925,160,8,,,,,,Orchard CDP,90,39,,,90,
855980,160,8,,,,,,Orchard City town,3119,1417,2880,1261,3119,2880
856035,160,8,,,,,,Orchard Mesa CDP,6836,2705,6456,2518,6836,6456
856145,160,8,,,,,,Ordway town,1080,540,1248,543,1080,1248
856365,160,8,,,,,,Otis town,475,248,534,248,475,534
856420,160,8,,,,,,Ouray city,1000,800,813,583,1000,813
856860,160,8,,,,,,Pagosa Springs town,1727,945,1591,746,1727,1591
856970,160,8,,,,,,Palisade town,2692,1274,2579,1117,2692,2579
857245,160,8,,,,,,Paoli town,34,23,42,24,34,42
857300,160,8,,,,,,Paonia town,1451,743,1497,705,1451,1497
857400,160,8,,,,,,Parachute town,1085,539,1006,415,1085,1006
857445,160,8,,,,,,Paragon Estates CDP,928,369,,,928,
857630,160,8,,,,,,Parker town,45297,16533,23558,8352,45297,23558
857850,160,8,,,,,,Parshall CDP,47,46,,,47,
858400,160,8,,,,,,Penrose CDP,3582,1575,4070,1562,3582,4070
858510,160,8,,,,,,Peoria CDP,163,75,,,163,
858592,160,8,,,,,,Perry Park CDP,1646,748,1180,495,1646,1180
858675,160,8,,,,,,Peyton CDP,250,93,,,250,
858758,160,8,,,,,,Phippsburg CDP,204,113,,,204,
858960,160,8,,,,,,Piedra CDP,28,74,,,28,
859240,160,8,,,,,,Pine Brook Hill CDP,983,434,,,983,
859830,160,8,,,,,,Pitkin town,66,214,124,193,66,124
860160,160,8,,,,,,Platteville town,2485,937,2370,819,2485,2370
860655,160,8,,,,,,Ponderosa Park CDP,3232,1208,3112,1057,3232,3112
860765,160,8,,,,,,Portland CDP,135,86,,,135,
861315,160,8,,,,,,Pritchett town,140,76,137,79,140,137
862000,160,8,,,,,,Pueblo city,106595,47593,102121,43121,106595,102121
862220,160,8,,,,,,Pueblo West CDP,29637,11347,16899,6374,29637,16899
862660,160,8,,,,,,Ramah town,123,68,117,65,123,117
862880,160,8,,,,,,Rangely town,2365,1013,2096,899,2365,2096
863045,160,8,,,,,,Raymer (New Raymer) town,96,55,91,48,96,91
863320,160,8,,,,,,Red Feather Lakes CDP,343,1060,525,1106,343,525
863375,160,8,,,,,,Redlands CDP,8685,3682,8043,3227,8685,8043
863650,160,8,,,,,,Redstone CDP,130,95,,,130,
863705,160,8,,,,,,Redvale CDP,236,114,,,236,
864200,160,8,,,,,,Ridgway town,924,511,713,318,924,713
864255,160,8,,,,,,Rifle city,9172,3626,6784,2586,9172,6784
864870,160,8,,,,,,Rock Creek Park CDP,58,32,,,58,
865685,160,8,,,,,,Rollinsville CDP,181,117,,,181,
865740,160,8,,,,,,Romeo town,404,156,375,132,404,375
866197,160,8,,,,,,Roxborough Park CDP,9099,3312,4446,1637,9099,4446
866995,160,8,,,,,,Saddle Ridge CDP,56,21,,,56,
867040,160,8,,,,,,St. Ann Highlands CDP,288,138,,,288,
867500,160,8,,,,,,San Acacio CDP,40,39,,,40,
868985,160,8,,,,,,Segundo CDP,98,82,,,98,
867830,160,8,,,,,,Sanford town,879,350,817,295,879,817
868105,160,8,,,,,,San Luis town,629,381,739,376,629,739
868655,160,8,,,,,,Sawpit town,40,23,25,18,40,25
868847,160,8,,,,,,Security-Widefield CDP,32882,11842,29845,10177,32882,29845
868930,160,8,,,,,,Sedgwick town,146,110,191,111,146,191
869040,160,8,,,,,,Seibert town,181,118,180,106,181,180
869110,160,8,,,,,,Seven Hills CDP,121,58,,,121,
869150,160,8,,,,,,Severance town,3165,1161,597,207,3165,597
869480,160,8,,,,,,Shaw Heights CDP,5116,1764,,,5116,
869645,160,8,,,,,,Sheridan city,5664,2455,5600,2395,5664,5600
869700,160,8,,,,,,Sheridan Lake town,88,43,66,41,88,66
869810,160,8,,,,,,Sherrelwood CDP,18287,6240,17657,6163,18287,17657
870195,160,8,,,,,,Silt town,2930,1077,1740,668,2930,1740
870250,160,8,,,,,,Silver Cliff town,587,401,512,284,587,512
870360,160,8,,,,,,Silver Plume town,170,145,203,134,170,203
870525,160,8,,,,,,Silverthorne town,3887,2061,3196,1582,3887,3196
870635,160,8,,,,,,Simla town,618,266,663,261,618,663
871625,160,8,,,,,,Smeltertown CDP,120,49,,,120,
871790,160,8,,,,,,Snyder CDP,132,66,,,132,
872320,160,8,,,,,,Southern Ute CDP,177,81,,,177,
872395,160,8,,,,,,South Fork town,386,596,604,580,386,604
873715,160,8,,,,,,Starkville town,59,35,128,53,59,128
873825,160,8,,,,,,Steamboat Springs city,12088,9966,9815,6373,12088,9815
873935,160,8,,,,,,Sterling city,14777,5404,11360,5171,14777,11360
874080,160,8,,,,,,Stonegate CDP,8962,3134,6284,1919,8962,6284
874275,160,8,,,,,,Stonewall Gap CDP,67,111,,,67,
874375,160,8,,,,,,Strasburg CDP,2447,970,1402,532,2447,1402
874430,160,8,,,,,,Stratmoor CDP,6900,2355,6650,2284,6900,6650
874980,160,8,,,,,,Sugarloaf CDP,261,134,,,261,
875585,160,8,,,,,,Sunshine CDP,230,109,,,230,
875970,160,8,,,,,,Swink town,617,286,696,291,617,696
876325,160,8,,,,,,Tall Timber CDP,208,93,,,208,
877235,160,8,,,,,,The Pinery CDP,10517,3720,7253,2406,10517,7253
877757,160,8,,,,,,Todd Creek CDP,3768,1280,1299,464,3768,1299
878335,160,8,,,,,,Towner CDP,22,17,,,22,
878345,160,8,,,,,,Trail Side CDP,59,19,,,59,
878610,160,8,,,,,,Trinidad city,9096,4375,9078,4126,9096,9078
879100,160,8,,,,,,Twin Lakes CDP,6101,2239,6301,2185,6101,6301
879105,160,8,,,,,,Twin Lakes CDP,171,208,,,171,
879270,160,8,,,,,,Two Buttes town,43,37,67,38,43,67
879785,160,8,,,,,,Upper Bear Creek CDP,1059,516,,,1059,
880040,160,8,,,,,,Vail town,5305,7230,4531,5389,5305,4531
880095,160,8,,,,,,Valdez CDP,47,26,,,47,
880370,160,8,,,,,,Valmont CDP,59,32,,,59,
880755,160,8,,,,,,Vernon CDP,29,16,,,29,
880865,160,8,,,,,,Victor city,397,337,445,360,397,445
881030,160,8,,,,,,Vilas town,114,60,110,51,114,110
881305,160,8,,,,,,Vineland CDP,251,109,,,251,
882350,160,8,,,,,,Walsenburg city,3068,1757,4182,1723,3068,4182
882735,160,8,,,,,,Ward town,150,101,169,82,150,169
882905,160,8,,,,,,Watkins CDP,653,251,,,653,
883175,160,8,,,,,,Weldona CDP,139,66,,,139,
883835,160,8,,,,,,Westminster city,106114,43968,100940,39318,106114,100940
884000,160,8,,,,,,Weston CDP,55,47,,,55,
884042,160,8,,,,,,West Pleasant View CDP,3840,1692,3932,1681,3840,3932
884440,160,8,,,,,,Wheat Ridge city,30166,14868,32913,14931,30166,32913
884770,160,8,,,,,,Wiggins town,893,343,838,279,893,838
885705,160,8,,,,,,Winter Park town,999,2572,662,1231,999,662
885760,160,8,,,,,,Wolcott CDP,15,10,,,15,
886117,160,8,,,,,,Woodmoor CDP,8741,3249,7177,2427,8741,7177
886200,160,8,,,,,,Woody Creek CDP,263,174,,,263,
886310,160,8,,,,,,Wray city,2342,1018,2187,968,2342,2187
886475,160,8,,,,,,Yampa town,429,214,443,211,429,443
886750,160,8,,,,,,Yuma city,3524,1490,3285,1393,3524,3285
803235,160,8,,,,,,Arriba town,193,129,244,127,193,244
809555,160,8,,,,,,Brush city,5463,2295,5117,1923,5463,5117
812045,160,8,,,,,,Carbondale town,6427,2468,5196,1821,6427,5196
812855,160,8,,,,,,Center town,2230,925,2392,848,2230,2392
813845,160,8,,,,,,Cherry Hills Village city,5987,2151,5958,2023,5987,5958
814175,160,8,,,,,,Cheyenne Wells town,846,429,1010,505,846,1010
816110,160,8,,,,,,Columbine CDP,24280,9668,24095,8800,24280,24095
816495,160,8,,,,,,Commerce City city,45913,15452,20991,6873,45913,20991
823135,160,8,,,,,,Edgewater city,5170,2436,5445,2424,5170,5445
823575,160,8,,,,,,Eldora CDP,142,253,170,245,142,170
827370,160,8,,,,,,Fort Carson CDP,13813,2629,10566,1845,13813,10566
827425,160,8,,,,,,Fort Collins city,143986,60503,118652,47755,143986,118652
829625,160,8,,,,,,Genesee CDP,3609,1618,3699,1562,3609,3699
830780,160,8,,,,,,Glenwood Springs city,9614,4113,7736,3353,9614,7736
840570,160,8,,,,,,Kim town,74,47,65,49,74,65
840790,160,8,,,,,,Kiowa town,723,322,581,243,723,581
841010,160,8,,,,,,Kit Carson town,233,146,253,158,233,253
844980,160,8,,,,,,Limon town,1880,963,2071,934,1880,2071
849600,160,8,,,,,,Mead town,3405,1215,2017,663,3405,2017
857025,160,8,,,,,,Palmer Lake town,2420,1079,2179,944,2420,2179
859005,160,8,,,,,,Pierce town,834,337,884,318,834,884
864970,160,8,,,,,,Rockvale town,487,227,426,191,487,426
876795,160,8,,,,,,Telluride town,2325,2070,2221,1938,2325,2221
877290,160,8,,,,,,Thornton city,118772,43230,82384,29573,118772,82384
878280,160,8,,,,,,Towaoc CDP,1087,387,1097,366,1087,1097
882460,160,8,,,,,,Walsh town,546,350,723,395,546,723
883230,160,8,,,,,,Wellington town,6289,2278,2672,963,6289,2672
885485,160,8,,,,,,Windsor town,18644,7198,9896,3692,18644,9896
800760,160,8,,,,,,Aguilar town,538,290,593,291,538,593
800925,160,8,,,,,,Akron town,1702,842,1711,835,1702,1711
801145,160,8,,,,,,Alamosa East CDP,1458,619,1528,612,1458,1528
801530,160,8,,,,,,Alma town,270,189,179,147,270,179
802355,160,8,,,,,,Antonito town,781,407,873,396,781,873
802905,160,8,,,,,,Arboles CDP,280,211,232,169,280,232
803455,160,8,,,,,,Arvada city,106433,44427,102153,39733,106433,102153
803620,160,8,,,,,,Aspen city,6658,5929,5914,4354,6658,5914
803840,160,8,,,,,,Atwood CDP,133,66,195,81,133,195
804165,160,8,,,,,,Avondale CDP,674,277,754,276,674,754
806090,160,8,,,,,,Bennett town,2308,898,2021,732,2308,2021
806530,160,8,,,,,,Bethune town,237,84,225,81,237,225
806970,160,8,,,,,,Black Forest CDP,13116,4895,13247,4639,13116,13247
807025,160,8,,,,,,Black Hawk city,118,69,118,79,118,118
807190,160,8,,,,,,Blanca town,385,167,391,183,385,391
807410,160,8,,,,,,Blue River town,849,726,685,563,849,685
807850,160,8,,,,,,Boulder city,97385,43479,94673,40726,97385,94673
809115,160,8,,,,,,Brookside town,233,100,219,88,233,219
811260,160,8,,,,,,Calhan town,780,348,896,376,780,896
812325,160,8,,,,,,Cascade-Chipita Park CDP,1655,934,1709,869,1655,1709
812387,160,8,,,,,,Castle Pines CDP,3614,1489,5958,2223,3614,5958
814587,160,8,,,,,,Cimarron Hills CDP,16161,6309,15194,5556,16161,15194
815302,160,8,,,,,,Coal Creek CDP,2400,1317,2323,1168,2400,2323
816000,160,8,,,,,,Colorado Springs city,416427,179607,360890,148690,416427,360890
818420,160,8,,,,,,Crestone town,127,107,73,79,127,73
819080,160,8,,,,,,Dacono city,4152,1555,3015,1136,4152,3015
819355,160,8,,,,,,De Beque town,504,222,451,188,504,451
819630,160,8,,,,,,Deer Trail town,546,274,598,274,546,598
819795,160,8,,,,,,Del Norte town,1686,851,1705,736,1686,1705
820275,160,8,,,,,,Derby CDP,7685,2445,6423,2145,7685,6423
821265,160,8,,,,,,Dove Creek town,735,360,698,326,735,698
822145,160,8,,,,,,Eads town,609,352,747,389,609,747
823740,160,8,,,,,,Elizabeth town,1358,531,1434,513,1358,1434
824620,160,8,,,,,,Empire town,282,194,355,179,282,355
825390,160,8,,,,,,Evergreen CDP,9038,4018,9216,3840,9038,9216
826765,160,8,,,,,,Flagler town,561,328,612,319,561,612
828250,160,8,,,,,,Franktown CDP,395,159,99,38,395,99
828690,160,8,,,,,,Frisco town,2683,3117,2443,2727,2683,2443
828800,160,8,,,,,,Fruitvale CDP,7675,3149,6936,2747,7675,6936
829185,160,8,,,,,,Garden City town,234,128,357,138,234,357
829680,160,8,,,,,,Genoa town,139,84,211,84,139,211
829735,160,8,,,,,,Georgetown town,1034,758,1088,670,1034,1088
829955,160,8,,,,,,Gilcrest town,1034,346,1162,346,1034,1162
830945,160,8,,,,,,Gold Hill CDP,230,137,210,114,230,210
831660,160,8,,,,,,Grand Junction city,58566,26170,41986,18784,58566,41986
831715,160,8,,,,,,Grand Lake town,471,918,447,748,471,447
834520,160,8,,,,,,Hartman town,81,48,111,50,81,111
837545,160,8,,,,,,Hotchkiss town,944,471,968,451,944,968
838535,160,8,,,,,,Ignacio town,697,307,669,303,697,669
838590,160,8,,,,,,Iliff town,266,128,213,112,266,213
839965,160,8,,,,,,Julesburg town,1225,730,1467,699,1225,1467
840185,160,8,,,,,,Keenesburg town,1127,463,855,313,1127,855
840377,160,8,,,,,,Ken Caryl CDP,32438,13212,30887,11045,32438,30887
840515,160,8,,,,,,Kersey town,1454,531,1389,489,1454,1389
842330,160,8,,,,,,Lake City town,408,447,375,385,408,375
843660,160,8,,,,,,Las Animas city,2410,1214,2758,1264,2410,2758
